element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""303.2084""","=""303.2077""","=""""","=""12""","=""""",,"=""232959.210""","=""265930.31""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""""","=""303.2093""","=""""","=""""","=""""",,"=""232747.562""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""303.2458""","=""303.2448""","=""""","=""9""","=""""",,"=""232796.298""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""303.2494""","=""""","=""""","=""""",,"=""232753.816""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,3,"=""""","=""303.2615""","=""""","=""""","=""4.26e+05""",D,"=""365630.40""","=""398595.65""","=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""2s.2p2.(4P).3d""","=""5P""","=""1""",,"=""T5376LS""","=""""",
O,4,"=""""","=""303.359""","=""""","=""""","=""7.05e+06""",B,"=""514371.3""","=""547326""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,3,"=""""","=""303.4219""","=""""","=""""","=""2.93e+07""",B,"=""332778.94""","=""365726.76""","=""2s2.2p.(2P*).3d""","=""1P*""","=""1""","=""2s2.2p.(2P*).4p""","=""1P""","=""1""",,"=""T5376""","=""""",
O,3,"=""""","=""303.5414""","=""""","=""""","=""4.59e+07""",C+,"=""267377.11""","=""300311.96""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""3P""","=""1""",,"=""u24""","=""""",
O,3,"=""""","=""303.6159""","=""""","=""""","=""4.24e+05""",D,"=""365630.40""","=""398557.17""","=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""2s.2p2.(4P).3d""","=""5P""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""303.6402""","=""303.6407""","=""""","=""7""","=""""",,"=""232796.298""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""303.9461""","=""303.9450""","=""""","=""8*""","=""""",,"=""232745.981""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""303.9461""","=""303.9458""","=""""","=""8*""","=""""",,"=""232747.562""","=""265638.59""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""303.9596""","=""""","=""""","=""""",,"=""232747.562""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,4,"=""""","=""303.980""","=""""","=""""","=""1.09e+07""",B,"=""485821.7""","=""518709""","=""2s2.4s""","=""2S""","=""1/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""304.0036""","=""""","=""""","=""""",,"=""232753.816""","=""265638.59""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,4,"=""""","=""304.073""","=""""","=""""","=""1.09e+07""",B,"=""485821.7""","=""518699""","=""2s2.4s""","=""2S""","=""1/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,3,"=""""","=""304.2636""","=""""","=""""","=""3.44e+04""",D,"=""365630.40""","=""398487.08""","=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""2s.2p2.(4P).3d""","=""5P""","=""3""",,"=""T5376LS""","=""""",
O,3,"=""""","=""304.2993""","=""""","=""""","=""1.94e+08""",C+,"=""267377.11""","=""300229.93""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""3P""","=""0""",,"=""u24""","=""""",
O,3,"=""304.302""","=""""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3467""",
O,2,"=""304.3991""","=""304.3969""","=""""","=""2""","=""""",,"=""232796.298""","=""265638.59""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,3,"=""""","=""304.5434""","=""""","=""""","=""6.73e+05""",C,"=""365730.68""","=""398557.17""","=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""2s.2p2.(4P).3d""","=""5P""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""304.6693""","=""304.6694""","=""""","=""4w""","=""""",,"=""253048.82""","=""285861.74?""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,4,"=""""","=""304.710""","=""""","=""""","=""4.01e+05""",B,"=""467229.3""","=""500037.8""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""304.7115""","=""304.7119""","=""""","=""13bl""","=""""",,"=""232959.210""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""304.713""","=""304.7100""","=""""","=""200""","=""1.49e+08""",C+,"=""267634.00""","=""300442.55""","=""2s2.2p.(2P*).3s""","=""3P*""","=""2""","=""2s2.2p.(2P*).3p""","=""3P""","=""2""",,"=""u24""","=""L3467""",
O,4,"=""""","=""305.109""","=""""","=""""","=""1.60e+06""",B,"=""467229.3""","=""499994.9""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,3,"=""""","=""305.1951""","=""""","=""""","=""2.39e+05""",D,"=""365730.68""","=""398487.08""","=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""2s.2p2.(4P).3d""","=""5P""","=""3""",,"=""T5376LS""","=""""",
O,4,"=""""","=""305.253""","=""""","=""""","=""5.15e+07""",B,"=""453071.5""","=""485821.7""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2s2.4s""","=""2S""","=""1/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""305.788""","=""""","=""""","=""1.98e+06""",B,"=""467344.9""","=""500037.8""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,5,"=""""","=""305.868""","=""""","=""""","=""1.39e+08""",B,"=""664485.9""","=""697170.2""","=""1s2.2p.(2P*<3/2>).3s""","=""1P*""","=""1""","=""1s2.2p.(2P*<3/2>).3p""","=""1D""","=""2""",,"=""T5633,T3843""","=""""",
O,2,"=""305.9293""","=""305.9284""","=""""","=""10bl""","=""""",,"=""232959.210""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""305.930""","=""305.9277""","=""""","=""110""","=""8.72e+07""",C+,"=""267634.00""","=""300311.96""","=""2s2.2p.(2P*).3s""","=""3P*""","=""2""","=""2s2.2p.(2P*).3p""","=""3P""","=""1""",,"=""u24""","=""L3467""",
O,4,"=""""","=""306.190""","=""""","=""""","=""7.90e+05""",B,"=""467344.9""","=""499994.9""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,4,"=""306.342""","=""306.343""","=""""","=""460""","=""1.30e+08""",B,"=""357614.3""","=""390248.0""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.3p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L648""",
O,3,"=""""","=""306.3850""","=""""","=""""","=""9.10e+05""",C,"=""365857.89""","=""398487.08""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""","=""2s.2p2.(4P).3d""","=""5P""","=""3""",,"=""T5376LS""","=""""",
O,3,"=""""","=""306.4975""","=""""","=""""","=""2.17e+07""",C+,"=""365527.08""","=""398144.29""","=""2s.2p2.(4P).3p""","=""5D*""","=""0""","=""2s.2p2.(4P).3d""","=""5D""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""306.8129""","=""""","=""""","=""6.49e+07""",C+,"=""365561.95""","=""398145.63""","=""2s.2p2.(4P).3p""","=""5D*""","=""1""","=""2s.2p2.(4P).3d""","=""5D""","=""0""",,"=""T5376LS""","=""""",
O,3,"=""""","=""306.8256""","=""""","=""""","=""5.41e+06""",C+,"=""365561.95""","=""398144.29""","=""2s.2p2.(4P).3p""","=""5D*""","=""1""","=""2s.2p2.(4P).3d""","=""5D""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""306.8667""","=""""","=""""","=""2.27e+07""",C+,"=""365561.95""","=""398139.92""","=""2s.2p2.(4P).3p""","=""5D*""","=""1""","=""2s.2p2.(4P).3d""","=""5D""","=""2""",,"=""T5376LS""","=""""",
O,4,"=""307.161""","=""307.160""","=""""","=""410""","=""1.29e+08""",B,"=""357614.3""","=""390161.2""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.3p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L648""",
O,3,"=""""","=""307.4138""","=""""","=""""","=""1.84e+07""",C+,"=""365630.40""","=""398150.40""","=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""2s.2p2.(4P).3d""","=""5D""","=""3""",,"=""T5376LS""","=""""",
O,3,"=""""","=""307.4715""","=""""","=""""","=""3.76e+07""",C+,"=""365630.40""","=""398144.29""","=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""2s.2p2.(4P).3d""","=""5D""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""307.5129""","=""""","=""""","=""1.61e+07""",C+,"=""365630.40""","=""398139.92""","=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""2s.2p2.(4P).3d""","=""5D""","=""2""",,"=""T5376LS""","=""""",
O,3,"=""""","=""307.5954""","=""""","=""""","=""1.07e+07""",C+,"=""365730.68""","=""398231.48""","=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""2s.2p2.(4P).3d""","=""5D""","=""4""",,"=""T5376LS""","=""""",
O,3,"=""""","=""307.813""","=""""","=""""","=""2.89e+07""",B,"=""370902.22""","=""403380.0""","=""2s2.2p.(2P*).4p""","=""1D""","=""2""","=""2s2.2p.(2P*).5d""","=""1F*""","=""3""",,"=""T5376""","=""""",
O,5,"=""""","=""307.895""","=""""","=""""","=""3.81e+08""",B,"=""808352.3""","=""840821.5""","=""1s2.2s.5d""","=""1D""","=""2""","=""1s2.2s.6f""","=""1F*""","=""3""",,"=""T5633""","=""""",
O,2,"=""308.1391""","=""308.1389""","=""""","=""9""","=""""",,"=""212593.82""","=""245037.29""","=""2s.2p4""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""""","=""L10621""",
O,3,"=""""","=""308.3647""","=""""","=""""","=""3.20e+07""",C+,"=""365730.68""","=""398150.40""","=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""2s.2p2.(4P).3d""","=""5D""","=""3""",,"=""T5376LS""","=""""",
O,3,"=""""","=""308.4644""","=""""","=""""","=""2.55e+07""",C+,"=""365730.68""","=""398139.92""","=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""2s.2p2.(4P).3d""","=""5D""","=""2""",,"=""T5376LS""","=""""",
O,3,"=""""","=""308.8041""","=""""","=""""","=""5.30e+07""",C+,"=""365857.89""","=""398231.48""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""","=""2s.2p2.(4P).3d""","=""5D""","=""4""",,"=""T5376LS""","=""""",
O,2,"=""309.0376""","=""309.0386""","=""""","=""10""","=""""",,"=""233544.59""","=""265893.62""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""309.1536""","=""309.1533""","=""""","=""8""","=""""",,"=""233430.53""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""309.5795""","=""""","=""""","=""1.35e+07""",C+,"=""365857.89""","=""398150.40""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""","=""2s.2p2.(4P).3d""","=""5D""","=""3""",,"=""T5376LS""","=""""",
O,2,"=""309.7477""","=""309.7471""","=""""","=""9""","=""""",,"=""212762.25""","=""245037.29""","=""2s.2p4""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""310.2588""","=""310.2599""","=""""","=""3""","=""""",,"=""233544.59""","=""265766.28""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""310.4049""","=""310.4056""","=""""","=""8""","=""""",,"=""233430.53""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""310.7846""","=""310.7846""","=""""","=""3w""","=""""",,"=""253792.40""","=""285959.69?""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""","=""2s2.2p2.(1D).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""311.3611""","=""311.3617""","=""""","=""11""","=""3.14e+06""",C,"=""206786.286""","=""238893.96""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,3,"=""""","=""311.5674""","=""""","=""""","=""1.39e+08""",C,"=""297558.66""","=""329645.14""","=""2s2.2p.(2P*).3p""","=""3S""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""0""",,"=""T5376,T5791,LS""","=""""",
O,3,"=""312.171""","=""312.1633""","=""""","=""80""","=""1.38e+08""",C,"=""297558.66""","=""329583.89""","=""2s2.2p.(2P*).3p""","=""3S""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""1""",,"=""T5376,T5791,LS""","=""L3467""",
O,2,"=""312.2521""","=""312.2524""","=""""","=""17""","=""2.80e+07""",C,"=""206877.865""","=""238893.96""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""312.3921""","=""312.3910""","=""""","=""13""","=""7.76e+06""",C,"=""206730.762""","=""238732.65""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,4,"=""""","=""312.889""","=""""","=""""","=""5.35e+06""",B,"=""549792""","=""581743""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""312.9334""","=""312.9340""","=""""","=""17""","=""4.94e+07""",C,"=""206786.286""","=""238732.65""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,4,"=""""","=""313.104""","=""""","=""""","=""2.13e+07""",B,"=""549792""","=""581721""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,3,"=""313.286""","=""313.2794""","=""""","=""110""","=""1.37e+08""",C,"=""297558.66""","=""329469.80""","=""2s2.2p.(2P*).3p""","=""3S""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""2""",,"=""T5376,T5791,LS""","=""L3467""",
O,2,"=""313.4218""","=""313.4213""","=""""","=""17""","=""7.68e+07""",C,"=""206730.762""","=""238627.46""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""313.4720""","=""313.4726""","=""""","=""22""","=""1.23e+08""",C,"=""207002.482""","=""238893.96""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,4,"=""""","=""313.507""","=""""","=""""","=""2.66e+07""",B,"=""549855""","=""581743""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""313.723""","=""""","=""""","=""1.06e+07""",B,"=""549855""","=""581721""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""313.8335""","=""313.8337""","=""""","=""19""","=""9.64e+07""",C,"=""206877.865""","=""238732.65""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""313.9680""","=""313.9678""","=""""","=""17""","=""7.64e+07""",C,"=""206786.286""","=""238627.46""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,4,"=""""","=""314.167""","=""""","=""""","=""1.94e+07""",B,"=""600092""","=""631913""","=""2p2.(1D).3s""","=""2D""","=""3/2""","=""2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""314.305""","=""""","=""""","=""2.15e+06""",B,"=""600106""","=""631913""","=""2p2.(1D).3s""","=""2D""","=""5/2""","=""2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T5109LS""","=""""",
O,5,"=""314.466""","=""314.466""","=""""","=""160""","=""8.86e+07""",B,"=""580824.9""","=""612615.6""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.3d""","=""1D""","=""2""",,"=""T5633,T3843""","=""L552""",
O,2,"=""314.7827""","=""314.7842""","=""""","=""3""","=""""",,"=""230609.45""","=""262368.05""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L10621""",
O,4,"=""""","=""315.314""","=""""","=""""","=""9.87e+06""",B,"=""482666.1""","=""514371.3""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""315.5906""","=""315.5914""","=""""","=""1w""","=""""",,"=""230609.45""","=""262286.82""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",,"=""""","=""L10621""",
O,5,"=""""","=""315.611""","=""""","=""""","=""4.16e+08""",C+,"=""808616.1""","=""840291.5""","=""1s2.2s.5f""","=""3F*""","=""4""","=""1s2.2s.6g""","=""3G""","=""5""",,"=""T5600""","=""""",
O,2,"=""316.7571""","=""316.7577""","=""""","=""9""","=""""",,"=""234402.797""","=""265963.54""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,5,"=""""","=""316.810""","=""""","=""""","=""3.87e+08""",C+,"=""808613.9""","=""840169.4""","=""1s2.2s.5f""","=""3F*""","=""3""","=""1s2.2s.6g""","=""3G""","=""4""",,"=""T5600""","=""""",
O,4,"=""""","=""316.822""","=""""","=""""","=""9.73e+05""",B,"=""482666.1""","=""514220.4""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,5,"=""""","=""316.832""","=""""","=""""","=""2.58e+07""",C+,"=""808616.1""","=""840169.4""","=""1s2.2s.5f""","=""3F*""","=""4""","=""1s2.2s.6g""","=""3G""","=""4""",,"=""T5600LS""","=""""",
O,2,"=""316.8634""","=""316.8628""","=""""","=""13""","=""""",,"=""234454.634""","=""266004.90""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""316.9865""","=""316.9887""","=""""","=""7*""","=""""",,"=""234454.634""","=""265992.37""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""316.9865""","=""316.9893""","=""""","=""7*""","=""""",,"=""234454.634""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,5,"=""""","=""317.231""","=""""","=""""","=""3.79e+08""",C+,"=""808613.0""","=""840126.7""","=""1s2.2s.5f""","=""3F*""","=""2""","=""1s2.2s.6g""","=""3G""","=""3""",,"=""T5600""","=""""",
O,5,"=""""","=""317.240""","=""""","=""""","=""3.31e+07""",C+,"=""808613.9""","=""840126.7""","=""1s2.2s.5f""","=""3F*""","=""3""","=""1s2.2s.6g""","=""3G""","=""3""",,"=""T5600LS""","=""""",
O,5,"=""""","=""317.262""","=""""","=""""","=""5.04e+05""",C+,"=""808616.1""","=""840126.7""","=""1s2.2s.5f""","=""3F*""","=""4""","=""1s2.2s.6g""","=""3G""","=""3""",,"=""T5600LS""","=""""",
O,5,"=""""","=""317.687""","=""""","=""""","=""4.12e+08""",B,"=""808916.8""","=""840385.2""","=""1s2.2s.5f""","=""1F*""","=""3""","=""1s2.2s.6g""","=""1G""","=""4""",,"=""T5600""","=""""",
O,4,"=""""","=""317.789""","=""""","=""""","=""7.59e+06""",B,"=""468337.4""","=""499795.7""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""318.077""","=""""","=""""","=""1.51e+07""",B,"=""468337.4""","=""499767.2""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""318.099""","=""""","=""""","=""7.06e+06""",B,"=""468414.9""","=""499842.6""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""318.574""","=""""","=""""","=""1.21e+07""",B,"=""468414.9""","=""499795.7""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""318.7369""","=""318.7371""","=""""","=""4w""","=""""",,"=""234402.797""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,4,"=""""","=""318.822""","=""""","=""""","=""4.28e+06""",B,"=""468550.6""","=""499907.0""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""318.864""","=""""","=""""","=""1.50e+07""",B,"=""468414.9""","=""499767.2""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""319.2358""","=""319.2365""","=""""","=""3""","=""""",,"=""234402.797""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""319.3061""","=""319.3075""","=""""","=""3""","=""""",,"=""234454.634""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,4,"=""""","=""319.409""","=""""","=""""","=""8.54e+06""",B,"=""482921.6""","=""514220.4""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""319.478""","=""""","=""""","=""1.71e+07""",B,"=""468550.6""","=""499842.6""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""319.7646""","=""319.7659""","=""""","=""1w""","=""""",,"=""234454.634""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""319.8181""","=""""","=""""","=""9.57e+06""",C+,"=""374571.64""","=""405830.38""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""","=""2s.2p2.(4P).3d""","=""3D""","=""2""",,"=""T5376LS""","=""""",
O,4,"=""""","=""319.958""","=""""","=""""","=""1.04e+07""",B,"=""468550.6""","=""499795.7""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""320.0688""","=""320.0683""","=""""","=""3""","=""""",,"=""234402.797""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""320.1139""","=""""","=""""","=""4.77e+07""",C+,"=""374571.64""","=""405801.50""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""320.2514""","=""""","=""""","=""7.08e+06""",C+,"=""374663.52""","=""405879.97""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""3""",,"=""T5376LS""","=""""",
O,3,"=""""","=""320.7609""","=""""","=""""","=""4.40e+07""",C+,"=""374663.52""","=""405830.38""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""2""",,"=""T5376LS""","=""""",
