element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""783.582""","=""""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""783.678""","=""""","=""783.673""","=""0.004""","=""5""","=""""",,"=""28347.60""","=""41104.52""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""783.884""","=""""","=""783.874""","=""0.004""","=""4""","=""""",,"=""39183.20""","=""51936.84""","=""""","=""*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L153""",
W,1,"=""783.950""","=""""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""784.495""","=""""","=""784.491""","=""0.004""","=""7""","=""""",,"=""23930.08""","=""36673.70""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""784.633""","=""""","=""""","=""""","=""5w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""784.993""","=""""","=""784.993""","=""0.004""","=""2""","=""""",,"=""23455.02""","=""36190.49""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""786.347""","=""""","=""786.347""","=""0.004""","=""60""","=""6.0e+05""",D,"=""20427.84""","=""33141.38""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""T4976""","=""L153""",
W,1,"=""786.704""","=""""","=""786.701""","=""0.004""","=""50""","=""1.46e+05""",D,"=""16431.31""","=""29139.12""","=""5d4.6s2""","=""3G""","=""4""","=""5d4.6s.(6D).6p""","=""5F*""","=""3""",,"=""T4976""","=""L153""",
W,1,"=""787.751""","=""""","=""787.749""","=""0.004""","=""15""","=""""",,"=""23982.80""","=""36673.70""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""787.848""","=""""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""788.040""","=""""","=""788.033""","=""0.004""","=""70""","=""9.0e+04""",E,"=""14976.18""","=""27662.52""","=""5d4.6s2""","=""3D""","=""2""","=""5d4.6s.(6D).6p""","=""5F*""","=""2""",,"=""T4976""","=""L153""",
W,1,"=""788.316""","=""""","=""788.313""","=""0.004""","=""10""","=""""",,"=""32238.02""","=""44919.84""","=""""","=""*""","=""3""","=""5d4.6s.(6D).7s""","=""7D""","=""2""",,"=""""","=""L153""",
W,1,"=""788.496""","=""""","=""788.491""","=""0.004""","=""7""","=""""",,"=""29853.66""","=""42532.62""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""788.525""","=""""","=""788.517""","=""0.004""","=""6""","=""""",,"=""28233.44""","=""40911.98""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""788.648""","=""""","=""788.644""","=""0.004""","=""80""","=""9.0e+04""",C,"=""13307.10""","=""25983.60""","=""5d4.6s2""","=""3P2""","=""1""","=""5d4.6s.(6D).6p""","=""5F*""","=""1""",,"=""T4976""","=""L153""",
W,1,"=""789.281""","=""""","=""789.278""","=""0.004""","=""5""","=""""",,"=""17107.01""","=""29773.34""","=""5d4.6s2""","=""3F2""","=""4""","=""5d4.6s.(6D).6p""","=""7D*""","=""5""",,"=""""","=""L153""",
W,1,"=""789.408""","=""""","=""789.410""","=""0.004""","=""2""","=""""",,"=""28204.20""","=""40868.40""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""789.461""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""789.648""","=""""","=""789.642""","=""0.004""","=""6""","=""""",,"=""29853.66""","=""42514.14""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""790.183""","=""""","=""""","=""""","=""3w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""790.530""","=""""","=""790.525""","=""0.004""","=""40""","=""""",,"=""22852.80""","=""35499.15""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""790.637""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
